Developer;Název projektu;Odkaz na web;Počet jednotek
KRR Development;Krymská 31;;93
Real Luxembourg;Rezidence Pod Pekárnami 13;https://www.rezidence-podpekarnami.cz;15
CENTRAL GROUP;Rezidence Parková čtvrť - etapa H;;371
Corwin;Dvory Vysočany;;123
PSN;JITRO;https://vrsovicke-jitro.cz;63
Bidli;Rezidence Hlaváčkova 2. etapa;;40
PSN;Ahoj Vanguard;;95
PSN;Vila Dům na Vinici;https://na-vinici.cz;6
Silver Development;Villa Střížkovská;;12
PSN;Želivského 3;https://api.psn.cz;14
Energo-Pro Real Estate;Bytový dům Leopold;;142
IMMO Building;Residence Topolka;;17
Real Luxembourg;Suchdolská;https://www.suchdolska.cz;6
ACORD Invest;Mansion Majestic;https://mansionmajestic.cz;12
Real Luxembourg;Rezidence Velehradská 24;https://www.velehradska24.cz;19
Penta Real Estate;Nová Waltrovka F7F8F9;https://novawaltrovka.cz;45
KKCG Real Estate Group;Top rezidence Jenerálka;https://www.toprezidence-jeneralka.cz;13
J&T Real Estate;Nový Rohan;;163
Svoboda & Wiliams;Africká;;22
UDI Group;BD Lužiny - Alfa;;199
CREDITAS Real Estate Management;Jateční 35;https://www.creditasre.cz;39
Arezidence;Rezidence Grébovka;;28
ACORD Invest;Čelakovského sady;;9
Gartal;Prime Vršovice;https://gartal.cz;68
CRONESTA DEVELOPMENT;Viladomy Košíře;https://www.viladomykosire.cz;11
Pražské Rezidence;Záhřebská 28;;26
Lesopark Motol;Lesopark Motol;;54
CRESTYL real estate;Hagibor III - Kappa;;253
Pechlátova 50 DEVELOPMENT;garden Lofts;https://www.gardenlofts.cz;22
Cresco Real Estate;So-Ho rezidence 2.etapa;;170
City Home;U Hadovky 11;https://www.city-home.cz;2
UBM Development Czechia;Rezidence Na Plzeňce;;160
ACORD Invest;White Lion Residence;https://whitelionresidence.cz;25
Na Spojce;Na spojce 2;https://cdn.prod.website-files.com;38
Trigema;Lihovar Smíchov - jih;https://www.lihovar.cz;127
CRONESTA DEVELOPMENT;Kolben Gate - Volt;;82
Castle Rock Investments;Boleslavova 3;;15
ACORD Invest;Factory house;;12
Flatbee Capital;Pobřežní 22;;14
RSBC;Rezidence Norská;https://www.rezidencenorska.cz;38
Sekyra Group;Nekázanka 17;https://sekyragroup.cz;2
Čejka Group;Rezidence Šárecká 26;;7
SYNER;MUSE7;https://www.muse7.cz;148
Porta Invest;Rezidence Pod Karlovem;https://podkarlovem.cz;17
ACORD Invest;Cavallo Plaza;;25
Bidli;Rezidence Hlaváčkova;;27
Crescon;Rezidence Starochodovská;https://www.crescon.cz;81
Trigema;Lihovar Smíchov - sever;https://prodej.lihovar-smichov.cz;249
Fidurock;Near Living;https://nearliving.cz;212
JTM Modřany;Rezidence Cikorka;https://rezidencecikorka.cz;12
ACORD Invest;Barrio de Centro;;7
PSN;Vinohradská 160;https://psn.cz;25
Pražské Rezidence;Blanická 15;https://www.blanicka15.cz;11
PSN;Lofty Vanguard;;20
Development Tusarova 41;Tusarova 41;https://cdn.prod.website-files.com;32
Viladům Okružní;Viladům Okružní;https://www.viladumokruzni.cz;16
Real Luxembourg;Musílkova 39;https://www.musilkova39.cz;14
CS Developia;Michelské údolí 2.etapa;https://www.michelskeudoli.cz;25
Real Luxembourg;Kolmá 5;;20
KKCG Real Estate Group;Top Rezidence Pomezí - vily;;5
Karlín Group;ZigZag Haus;;75
Hostivařská developerská;Rezidence Petřiny;;26
PSN;Heřmanova 24;;12
Ovenecká 9;Ovenecká 9;https://cdn.prod.website-files.com;67
HOME BY ZEITGEIST;Residence Uvoz 26;https://www.uvoz26.cz;9
Blahobyty;Garsonky Jiřák;https://garsonky-jirak.cz;37
FUSION DEVELOPMENT;Pernerova 31;http://www.pernerova31.cz;5
Svoboda & Williams;Nad Sokolovnou 3;;5
Clamor;Rezidence Staropramenná;https://www.rezidencestaropramenna.cz;58
MORAVIANNA;Moravianna;;26
Sekyra Group;Smíchov City - SM8;;113
C&S Developia;HOYT Zenklova A;https://www.hoyt.cz;27
Sotheby's realty;Hanspaulka Living;;7
NIC projekt 3;Rezidence Královská;https://www.rezidencekralovska.cz;24
JRD Development;Rezidence Bella Vista;;26
CC Real;Rezidence Pod Hřebenkou;https://www.podhrebenkou.cz;29
OPBH Development;Vila Clemance;;6
CPI Property Group;Delarg;https://www.delarg.cz;45
Palác Dlouhá;Palác Dlouhá;;10
Rezidence Bellecour;Rezidence Bellecour;http://www.bellecour.cz;5
TKC Group;Mánesova 82;https://www.manesova82.cz;21
Svoboda & Williams;Villa Gallery;;9
Sekyra Group;Vision Karlín;https://sekyragroup.cz;1
Ikonix;Konstanta Karlín;;43
Czech Buildings;Českomalínská;;2
Boutiq Development;Rezidence Křižíkova 93;https://www.boutiq.cz;10
SATPO;Rezidence PO7SKÁ;https://www.satpo.cz;17
NOVA ET VETERA;Chodská 28;;20
Penta Real Estate / Kaprain Real Estate;Victoria Palace;;35
Římská 34;Římská 34;https://download.svoboda-williams.com;8
Sekyra Group;Diamanty Karlín;https://sekyragroup.cz;3
Real-Treuhand Reality;Rezidence Vyšehradská 33;https://vysehradska33.cz;32
Signature Living;Vinohradská 67;;41
Rezidence Žitná;Rezidence Žitná;https://rezidence-zitna.cz;38
BAU-INVEST PROJECT;Linea Pura;https://www.linea-pura.cz;75
Slavíkova 6;Slavíkova 6;https://cdn.prod.website-files.com;24
Polská 52;Polská 52;https://cdn.prod.website-files.com;21
Penta Real Estate;Vila Chittussi;;13
AND Vila Na Cihlářce;Vila EPOQUE;https://svoboda-williams.com;5
WP 7;Valdštejnské náměstí VII;https://www.lexxus.cz;16
Gartal;Moje Kubáň;;36
Lynch Develop;Galerie Heřmanova;https://galeriehermanova.cz;5
REKO;Villa Apus;;59
Coast Capital Partners;Chateau Troja residence;;1
VP Developers;Rezidence Sobín;;6
EURO DEVELOPMENT;Domy Praha - Štěrboholy;;13
EURO DEVELOPMENT;Domy Praha - Cholupice;;15
EURO DEVELOPMENT;Domy Praha - Jahodnice;;29
EURO DEVELOPMENT;Domy Praha - Královice;;7
SATPO;Holečkova House;;8
INDENEX INVESTMENT;Doma u Rokytky;https://domaurokytky.cz;3
Natland Real Estate;Bubeneč Gardens;https://www.bubenec-gardens.cz;5
Natland Real Estate;Rezidence Harfistka;https://www.rezidenceharfistka.cz;150
Helénska Residence;Rezidence Helenika;https://drive.google.com;2
RP Invest;Sudoměřská 23;https://www.sudomerska23.cz;28
KARIMPOL INTERNATIONAL;Rezidence Gotthardská;https://www.rezidencegotthardska.cz;12
Bidli;Jankovcova 18;http://www.jankovcova18.cz;95
Premiot Group;Skalka;https://skalka-praha5.cz;19
Artbud;Rezidence Podolí;;35
YIT CZ;Koti Libeň;;12
EURO DEVELOPMENT;Domy Praha - Březiněves;https://www.euro-development.cz;24
ČSNF SICAV;Bytový dům Královice;;15
Rezidence Sadová;Rezidence Sadová;;6
SLÁDEK GROUP;CATHA 1;https://www.bytykaterinky.cz;30
PDM Group;Citadela 16;https://www.citadela16.cz;16
SLÁDEK GROUP;CATHA 2;https://www.bytykaterinky.cz;28
Y&T Luxury Property Prague;Chateau Savoy;https://www.luxusni-bydleni-praha.com;18
Green Property;Rezidence Plzeňská 39;https://www.greenproperty.cz;4
Velska;4U Living;https://www.4uliving.cz;1
SATPO;Rezidence Kobrova;;15
SATPO;Vitality Rezidence;;50
NOVÉ KRÁLOVICE;Nové Královice II;https://www.novekralovice.cz;16
NOVÉ KRÁLOVICE;Nové Královice I;https://www.novekralovice.cz;10
BCD Group;Inspirace nad Rokytkou;;76
EURO DEVELOPMENT;Domy Praha - Vinoř;https://www.euro-development.cz;8
RP Invest;Hradešinská residence;https://hradesinskaresidence.cz;13
Apartmány Radlická;Nad Laurovou;;9
BAK Development;Mařatkova 5;;6
Eclipta;Rezidence Hansfalkovský dvůr;https://www.hansfalkovskydvur.cz;90
Praxidike;Viladům Záběhlická;;28
Svoboda & Wiliams;Vyšehrad 612;;25
New Square Associates;Břevnovská Závěrka;https://www.brevnovskazaverka.cz;35
PSN;Rezidence U Sv. Štěpána;https://usvstepana.cz;33
Panorama Letňany;Panorama Letňany;;34
CRONESTA DEVELOPMENT;Vily Košíře;https://vilykosire.cz;3
K2 Holding;Rezidence Zabelity;;233
Dolfin Homes;Plzeňská 171;;20
General Property XII;SKY DREAM Hřebenky;https://www.skydreamhrebenky.cz;4
IMMO Building;Rezidence Dejvice;;19
SGF Development;Rezidence Na Brabenci;https://rezidence-nabrabenci.cz;1
Real Luxembourg;V Zahradách 17;;22
Real Luxembourg;Rezidence Gutovka;;
Janovská 777;Mira Petrovice;;
